Das Bett, Betten
Das Bild, Bilder
Der Sessel, Sessel
Die Lampe, Lampen
Der Stuhl, Stuhle
Das Sofa, Sofas
Die Couch, Couchs
Der Tisch, Tische
Der Schrank, Schränke
Der Teppich, Teppiche
Der Kugelschreiber, Kugelschreiber
Der Fotoapparat, Fotoapparate
Der Schlüssel, Schlüssel
Der Bleistift, Bleistifte
Das Feuerzeug, Feuerzeuge
Das Buch, Bücher
Die Flasche, Flaschen
Die Brille, Brillen
Die Tasche, Taschen
Die Kette, Ketten
Der Laptop, Laptops
Die E-Mail, E-Mails
Das Handy, Handys
Die SMS, SMS
Die Briefmarke, Briefmarken
Die Rechnung, Rechnungen
Das Telefon, Telefone
Das Formular, Formulare
Der Drucker, Drucker
Die Maus, Mäuse
Der Computer, Computer
Der Stift, Stifte
Das Notizbuch, Notizbücher
Der Kalender, Kalender
Der Bildschirm, Bildschirme 
Die Mittagspause, Mittagspausen
Der Mittag, Mittage
Das Wetter, 
Die Sonne
Das Gewitter, Gewitter
Das Zeug, Zeug
Die Uhr, Uhren
Die Uhrzeit, Uhrzeiten
Die Zeit, Zeiten
Die Fahne, Fahnen
Die Tür, Türen
Die Blume, Blumen
Der Stadtteil, Stadtteile
Das Land, Länder
Das Bundeslander, Bundesländer
Der See, Seen
Der Unterschied, Unterschiede
Die Meinung, Meinungen
Die Wissenschaft, Wissenschaften
Die Einleitung, Einleitungen
Die Situation, Situationen
Das Gift, Gifte
Die Geldbörse, Geldbörsen
Der Name, Namen
Der Vorname, Vornamen
Dear Familienname, Familiennamed
Das Land, Länder
Das Alphabet, Alphabete
Der Arbeitgeber, Arbeitgeber
Die Ausbildung, Ausbildungen
Der Beruf, Beruf
Die Hochschule, Hochschulen
Der Job, Jobs
Das Praktikum, Praktikum
Die Schule, Schulen
Die Stelle, Stellen
Der Familienstand
Das Jahr, Jahre
Die Sprache, Sprachen
Der Freund, Freunde
Die Freundin, Freundinnen
Der Kollege, Kollegen
Der Partner, Partner
Die Partnerin, Partnerinnen
Die Aufgabe, Aufgaben
Die Farbe, Farben
Die Form, Formen
Das Material, Materialien
Das Glas, Gläser
Das Holz, Hölzer
Das Metall, Metalle
Das Papier, Papiere
Das Plastik, Plastik
Der Kunststoff, Kunststoffe
Der Ring, Ringe
Die Seife, Seifen
Das Streichholz, Streichhölzer
Die Adresse, Adressen
Das Fax, Faxe
Das Geburtsdatum, Geburtsdaten
Die Hausnummer, Hausnummern
Der Ort, Orte
Die Postleitzahl
Die Straße, Straßen
Das Telefon, Telefone
Die Menge, Mengen
Das Problem, Probleme
Das Produkt, Produkte
Das Wort, Wörter
Das Wörterbuch, Wörterbücher
Der Stress, Stresse
